PDB rigid_intra_iRMSD rigid_intra_refe_iRMSD rigid_inter_iRMSD(start) rigid_inter_iRMSD(end) intra_iRMSD intra_refe_iRMSD inter_iRMSD(start) inter_iRMSD(end)
1IBR 0.681 0.548 2.673 2.673 3.400 2.050 3.388 4.928
1IJK 1.309 0.552 0.747 0.933 0.948 0.978 0.633 1.196
1IQD 0.940 0.401 0.584 0.643 0.783 0.730 0.500 0.889
1J2J 0.909 0.423 0.732 0.834 0.846 0.720 0.901 1.258
1JIW 2.982 1.302 2.014 2.183 15.451 15.088 1.733 15.600
1JK9 1.922 0.770 2.189 2.296 8.172 9.779 1.808 8.429
1JMO 15.750 0.970 4.765 4.689 2.007 1.973 4.482 4.601
1JPS 0.938 0.345 0.629 0.707 1.227 2.457 0.683 1.312
1JTD 1.475 1.813 0.483 1.907 3.215 3.820 0.415 3.184
1JTG 1.063 0.306 0.518 0.598 3.279 2.204 0.554 3.240
1JWH 12.792 0.714 1.647 1.955 3.305 0.977 1.478 3.643
1JZD 5.306 0.314 2.965 3.013 6.330 2.723 2.849 6.931
1K4C 0.919 0.376 0.535 0.687 0.994 0.816 0.518 1.205
1K5D 1.533 0.327 1.378 1.374 6.765 9.195 1.193 6.576
1K74 1.726 0.561 0.946 1.057 0.482 0.777 0.938 0.997
1KAC 2.525 0.665 0.904 1.008 0.801 1.846 0.877 1.191
1KKL 4.135 0.348 2.594 2.469 1.222 0.511 2.354 2.111
1KLU 0.948 0.377 0.616 0.720 2.331 2.199 0.760 2.285
1KTZ 1.053 0.770 0.503 0.894 12.931 1.983 0.575 13.035
1KXP 1.592 0.577 1.157 1.357 7.018 2.036 1.037 6.919
1KXQ 1.163 0.285 0.713 0.808 27.117 27.872 0.624 27.386
1LFD 1.592 0.481 2.108 2.149 1.326 0.562 1.788 2.261
1M10 40.373 0.333 2.389 2.380 4.503 5.047 1.947 5.095
1M27 3.047 1.354 1.334 1.916 1.371 0.729 1.110 1.817
1MAH 1.148 0.307 0.657 0.780 4.401 1.128 0.664 4.453
1ML0 3.563 0.358 1.147 1.193 5.137 8.792 1.300 5.094
1MLC 13.218 0.613 0.867 0.933 0.456 0.675 0.786 0.836
1MQ8 1.602 1.026 2.188 2.794 1.025 0.765 2.191 2.614
1NCA 0.883 0.426 0.239 0.479 1.052 2.109 0.252 1.083
1NSN 1.048 0.643 0.426 0.770 0.572 0.680 0.647 0.869
1NW9 0.602 0.390 8.731 8.771 1.369 0.784 8.175 8.156
1OC0 0.867 0.397 1.052 1.131 2.007 0.930 1.077 2.283
1OFU 4.447 0.531 1.234 1.246 2.105 0.485 1.046 2.172
1OPH 2.120 0.882 1.422 1.512 0.764 0.590 1.028 1.102
1OYV 13.666 0.597 0.784 0.977 2.084 0.786 0.721 2.168
1PPE 0.897 0.178 0.475 0.508 3.636 5.191 0.496 3.802
1PVH 2.336 1.719 0.460 1.721 7.875 16.100 0.680 7.929
1PXV 2.767 0.471 2.815 2.926 1.516 0.528 2.487 2.453
1QA9 0.527 0.262 0.829 0.840 0.835 0.719 0.825 1.117
1QFW 0.875 0.249 0.792 0.854 0.571 0.363 1.072 1.251
1R0R 0.813 0.539 0.515 0.816 2.738 1.230 0.511 2.806
1R6Q 2.852 0.499 1.719 1.837 4.029 4.462 1.631 3.914
1R8S 11.776 0.264 2.560 2.566 4.964 7.217 2.210 5.318
1RKE 2.500 0.551 3.246 3.241 6.916 1.482 2.891 6.417
1RLB 2.960 0.596 0.790 0.962 1.058 1.638 0.670 1.234
1RV6 1.045 0.732 1.208 1.446 1.230 1.112 1.268 1.622
1S1Q 1.552 0.260 1.050 1.045 2.189 0.968 0.965 2.328
1SBB 1.223 0.646 0.589 0.929 1.107 1.198 0.599 1.240
1SYX 2.021 0.431 1.784 1.835 1.992 0.922 1.626 2.555
1T6B 2.548 0.471 1.003 1.341 0.418 0.853 0.881 0.866
1TMQ 0.846 0.424 0.709 0.814 13.604 5.608 0.643 13.595
1UDI 1.102 0.382 0.742 0.852 7.317 6.778 0.723 7.534
1US7 1.779 0.563 1.086 1.244 1.220 1.307 1.046 1.583
1VFB 1.413 0.530 1.088 1.144 0.123 0.947 0.960 0.978
1WEJ 0.731 0.423 0.573 0.627 0.990 0.971 0.511 0.972
1WQ1 3.021 0.548 1.219 1.352 1.966 1.515 1.074 2.278
1XD3 1.637 1.056 0.978 1.321 1.601 1.173 0.870 1.813
1XQS 5.390 0.505 1.757 1.850 1.385 0.469 1.575 2.145
1XU1 1.457 0.421 1.366 1.437 1.347 1.502 2.254 2.515
1Z0K 2.257 0.991 0.515 1.111 10.606 12.304 0.837 10.778
1Z5Y 15.848 0.553 1.355 1.407 5.263 4.591 1.197 5.113
1ZHH 1.074 0.402 2.080 2.091 3.164 0.759 1.693 3.346
1ZHI 1.303 0.462 0.808 0.984 6.968 7.472 0.813 7.035
1ZLI 0.908 0.680 2.630 2.665 13.646 6.407 2.439 14.253
2A5T 9.217 1.013 1.191 1.531 3.367 1.620 0.998 3.601
2A9K 2.647 0.310 0.900 0.993 1.798 0.575 0.756 2.102
2ABZ 2.145 1.102 1.038 1.465 4.370 1.387 1.401 4.423
2AJF 1.489 0.609 0.791 1.028 1.198 0.718 0.743 1.462
2AYO 1.338 1.009 1.495 1.805 3.986 4.158 1.537 4.172
2B42 30.086 0.463 0.771 0.903 1.326 1.902 0.658 1.419
2B4J 8.617 0.786 1.059 1.500 0.862 0.929 1.063 1.274
2BTF 4.106 0.489 0.894 1.015 0.891 0.752 0.810 1.251
2C0L 4.719 0.691 2.129 2.205 5.639 4.389 1.816 6.283
2CFH 0.991 0.541 1.630 1.633 3.916 3.487 2.010 4.388
2FD6 2.015 0.806 2.086 1.958 0.902 0.619 2.304 2.117
2FJU 1.104 0.579 0.702 1.070 1.074 0.699 0.741 1.404
2G77 2.932 0.328 1.076 1.178 1.284 0.868 1.084 1.661
2GAF 1.497 0.413 0.769 0.873 2.827 1.708 0.695 2.890
2GTP 0.956 1.220 0.610 1.382 0.792 0.762 0.557 0.913
2HLE 1.839 0.525 1.459 1.520 2.615 5.319 1.248 2.942
2HQS 9.626 0.515 1.294 1.422 1.449 0.703 1.215 1.956
2HRK 12.780 0.331 1.348 1.416 0.907 0.769 1.234 1.576
2I25 1.014 0.718 1.195 1.300 2.157 0.906 1.127 2.477
2I9B 3.369 0.515 3.834 3.874 1.785 0.784 3.402 3.690
2IDO 1.961 0.623 2.101 2.144 1.490 0.791 2.649 2.881
2J0T 2.047 0.845 1.279 1.537 7.670 3.846 1.394 7.638
2J7P 47.221 0.651 2.853 2.917 3.418 5.185 2.515 3.847
2JEL 0.572 0.310 0.204 0.372 7.769 6.121 0.474 7.786
2MTA 0.530 0.577 0.544 0.783 0.610 0.910 0.523 0.816
2NZ8 2.849 0.499 2.306 2.345 2.525 1.072 2.081 3.783
2O3B 1.492 1.066 4.251 3.865 0.697 0.572 4.326 4.372
2O8V 3.317 0.479 0.636 0.830 1.881 0.714 0.599 1.946
2OOB 0.865 0.537 0.979 1.027 2.406 3.214 0.887 2.413
2OOR 1.966 0.644 1.524 1.532 1.189 1.390 1.638 1.967
2OT3 2.957 0.437 2.639 2.733 4.583 0.949 2.306 4.806
2OZA 2.999 0.596 1.991 2.103 2.325 4.356 1.739 2.757
2PCC 0.681 0.682 0.508 0.848 1.546 1.157 0.579 1.787
2SIC 0.692 0.407 0.425 0.582 0.848 0.716 0.589 1.064
2SNI 0.685 0.326 0.385 0.469 0.777 0.990 0.381 0.847
2UUY 14.168 0.228 0.792 0.820 1.734 0.711 0.981 1.892
2VDB 0.859 0.234 0.652 0.644 0.850 0.698 0.629 0.979
2VXT 1.024 0.249 1.551 1.626 1.848 0.705 1.795 2.488
2W9E 0.992 0.848 1.294 1.528 1.259 1.368 1.278 1.594
2X9A 2.827 0.221 1.562 1.584 1.865 0.750 1.487 2.257
2YVJ 0.889 1.000 0.687 1.308 2.794 0.787 0.659 2.911
2Z0E 1.350 0.784 2.271 2.414 1.712 0.943 2.095 2.758
3A4S 3.047 0.462 0.784 0.871 1.150 1.564 0.822 1.457
3AAA 2.780 0.640 1.997 2.027 4.799 3.029 1.906 4.965
3AAD 17.105 0.563 4.349 4.376 1.282 0.560 3.477 3.633
3BIW 1.114 0.860 0.450 0.928 0.691 0.562 0.463 0.827
3BP8 1.445 0.607 1.673 1.409 1.445 0.667 1.565 1.175
3BX7 1.213 0.626 1.699 1.758 4.578 3.647 1.593 4.844
3CPH 3.903 0.731 2.182 2.332 0.876 1.309 1.921 2.112
3D5S 1.659 0.399 0.606 0.696 8.444 11.618 0.577 8.371
3DAW 1.746 0.425 1.559 1.568 1.566 1.319 1.626 2.350
3EO1 4.342 0.277 2.055 1.954 1.242 1.387 1.699 1.680
3EOA 22.119 0.611 2.817 3.111 1.026 1.042 2.408 3.204
3F1P 1.282 0.927 1.607 1.910 1.466 0.741 1.461 1.919
3FN1 2.969 0.386 3.832 3.807 1.391 0.962 3.771 3.853
3G6D 0.884 0.659 4.459 4.025 1.202 0.876 4.226 4.226
3H11 1.579 0.675 5.534 5.559 10.021 9.922 4.528 10.683
3H2V 2.168 1.442 0.842 1.587 1.642 1.185 0.972 1.747
3HMX 2.325 0.529 2.236 2.478 1.602 0.977 1.960 2.039
3K75 0.334 1.471 0.826 1.864 0.443 0.687 0.718 0.842
3L5W 2.504 0.510 0.961 0.823 16.728 32.045 1.239 16.631
3L89 50.647 0.530 2.641 2.638 3.596 3.467 3.557 5.041
3LVK 1.274 1.362 0.885 1.574 6.609 2.120 0.943 6.791
3MXW 1.625 0.882 0.828 1.181 0.934 1.152 0.733 1.001
3P57 4.211 0.690 0.732 1.115 0.859 0.967 1.111 1.348
3PC8 0.655 0.783 0.644 1.051 5.925 6.918 0.650 5.849
3RVW 2.454 0.489 0.592 0.713 1.421 0.604 0.552 1.510
3S9D 1.840 0.835 1.983 2.152 1.293 0.872 1.725 1.942
3SGQ 0.635 0.242 0.410 0.490 1.338 1.366 0.474 1.482
3SZK 1.518 1.616 2.344 3.046 1.796 1.505 2.049 2.564
3V6Z 4.111 0.564 1.897 1.994 1.644 0.936 1.949 2.556
3VLB 1.096 0.358 0.533 0.652 3.069 3.025 0.528 3.067
4CPA 1.376 1.022 0.808 1.284 1.254 1.266 0.881 1.515
4DN4 2.368 0.574 2.305 2.261 1.975 0.691 2.076 1.613
4G6M 1.614 0.545 0.498 0.701 1.105 0.832 0.579 1.264
4H03 2.543 0.326 0.841 0.892 3.075 2.436 0.998 3.131
4HX3 3.467 0.669 0.951 1.183 4.562 1.983 0.818 4.610
4IZ7 6.065 0.463 1.683 1.747 1.251 0.927 1.684 2.086
4JCV 0.705 1.401 1.995 2.346 3.883 3.225 1.871 3.972
4LW4 2.801 1.102 1.678 1.920 1.095 0.622 1.567 1.712
4M76 1.129 0.395 0.639 0.636 0.530 0.613 0.568 0.660
7CEI 0.685 0.674 0.771 0.950 0.705 0.792 1.136 1.304
9QFW 1.637 1.298 1.016 1.553 0.673 0.839 1.603 1.669
